Intervalo;Cantidad Agentes Únicos;Cantidad Agentes Simultáneos;Grupo;Login Id;Agente;LogIn;Internas Entrantes No Atendidas;Internas Entrantes Atendidas;Internas Salientes No Atendidas;Internas Salientes Atendidas;Entrantes No Atendidas;Entrantes Atendidas;Salientes No Atendidas;Salientes Atendidas;Discador No Atendidas;Discador Atendidas;Transfer In;Transfer Out;Unstaffed;Avail;Preview;Dial;Ring;Connect;Hold;ACW;Not Ready;Break;Lunch;Coaching;Administrativo;Baño;Llamada_Manual;Tipo de Break 6;Tipo de Break 7;Tipo de Break 8;Tipo de Break 9;Auxiliar Total;Auxiliar %;Tiempo Real de Logueo;Utilización;Connect % Real;Ring % Real;Avail % Real;AHT;ATT;Avail Count;Hold Count;Not Ready Count;Avail Max;Hold Max;Not Ready Max;Talking Time Internas Entrantes;Talking Time Internas Salientes;Tipificación Otro;Tipificación Exitoso;Tipificación No Exitoso;Tipificación No Efectivo;Tipificación Neutro;FechaRango;CE;%CE;Exitos / CE;Exitos por Hora Real;idAgente;idGrupo
19/2/2025 09:30:00;;;Mendoza1;mza3;MZA 3;1737;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";146;"0";"0";"0";"0";"0";1592;"0";"0";"0";"0";1592;"0,916181117999551";"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";146;"0";"0";"0";"0";"0";"0";"0";;"0";"0";"0";"0";2214;
19/2/2025 09:30:00;;;Mendoza1;mza32;MZA 32;1110;"0";"0";"0";"0";"0";"0";"0";"0";"0";4;"0";"0";"0";440;"0";1;"0";51;"0";140;6;472;"0";"0";"0";"0";"0";"0";"0";"0";"0";472;"0,425715294821478";632;"0,302634473698788";"0,0811550849536652";"0,000591945427063302";"0,696026526752293";48;12,75;5;"0";1;183;"0";6;"0";"0";"0";2;1;"0";"0";;3;1;"0,666666666666667";11,3924050632911;2580;
19/2/2025 09:30:00;;;Mendoza1;mza40;MZA 40;617;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";6;611;"0";"0";"0";"0";"0";"0";"0";"0";"0";611;"0,989623894522012";"0";"0";"0";"0";"0";"0";"0";"0";"0";1;"0";"0";6;"0";"0";"0";"0";"0";"0";"0";;"0";"0";"0";"0";2833;
19/2/2025 09:30:00;;;Mendoza1;mza8;MZA 8;1464;"0";"0";"0";"0";"0";"0";"0";"0";"0";3;"0";"0";"0";333;"0";1;"0";59;"0";35;563;472;"0";"0";"0";"0";"0";"0";"0";"0";"0";472;"0,322426758919959";429;"0,220544412941767";"0,138114739752879";"0,000618385896134505";"0,777957459717409";31,6666666666667;19,6666666666667;4;"0";1;115;"0";563;"0";"0";"0";"0";3;"0";"0";;3;1;"0";"0";2219;
19/2/2025 10:00:00;;;Mendoza1;mza1;MZA 1;1363;"0";"0";"0";"0";"0";"0";"0";2;"0";6;"0";"0";"0";130;"0";4;46;603;"0";282;298;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";1064;"0,874680823480119";"0,566366169449617";"0,042968346332124";"0,121885504172076";116,875;75,375;6;"0";1;37;"0";298;"0";"0";"0";3;4;"0";"0";;7;1;"0,428571428571429";10,1503759398496;2212;
19/2/2025 10:00:00;;;Mendoza1;mza2;MZA 2;1199;"0";"0";"0";"0";"0";"0";"0";"0";"0";11;"0";"0";"0";350;"0";2;1;290;"0";456;15;85;"0";"0";"0";"0";"0";"0";"0";"0";"0";85;"0,0705070023992018";1099;"0,679707938599405";"0,264056410363739";"0,000882663131161011";"0,318059014674957";68,0909090909091;26,3636363636364;12;"0";1;76;"0";15;"0";"0";"0";7;3;"0";"0";;10;1;"0,7";22,9299363057325;2213;
19/2/2025 10:00:00;;;Mendoza1;mza28;MZA 28;1471;"0";"0";"0";"0";"0";"0";"0";"0";"0";15;"0";"0";"0";402;"0";3;1;407;"0";335;247;75;"0";"0";"0";"0";"0";"0";"0";"0";"0";75;"0,0512262736210115";1148;"0,646982911758354";"0,354251858250493";"0,00123738235724387";"0,350200105887188";49,7333333333333;27,1333333333333;16;"0";1;59;"0";247;"0";"0";"0";2;11;"0";"0";;13;1;"0,153846153846154";6,27177700348432;2881;
19/2/2025 10:00:00;;;Mendoza1;mza3;MZA 3;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";2;"0";"0";"0";69;"0";"0";"0";161;"0";120;"0";"0";"0";"0";"0";"0";1449;"0";"0";"0";"0";1449;"0,805236666666667";351;"0,802047499244097";"0,458040242573608";"0,000310918664818269";"0,196569055320703";141;80,5;2;"0";"0";50;"0";"0";"0";"0";"0";"0";"0";"0";"0";;"0";"0";"0";"0";2214;
19/2/2025 10:00:00;;;Mendoza1;mza32;MZA 32;1800;"0";"0";"0";"0";"0";"0";"0";"0";"0";10;"0";"0";"0";543;"0";2;1;331;"0";268;"0";192;"0";287;176;"0";"0";"0";"0";"0";"0";654;"0,363442777777778";1146;"0,524137220796245";"0,289212892617666";"0,000857040870027396";"0,473951455878541";60,3;33,1;13;"0";"0";110;"0";"0";"0";"0";"0";10;"0";"0";"0";;10;1;1;31,413612565445;2580;
19/2/2025 10:00:00;;;Mendoza1;mza39;MZA 39;1555;"0";"0";"0";"0";"0";"0";"0";"0";"0";18;"0";"0";"0";332;"0";4;2;361;"0";270;6;580;"0";"0";"0";"0";"0";"0";"0";"0";"0";580;"0,372961991908739";969;"0,653606687963811";"0,372755751467274";"0,00190271002038913";"0,342652897814979";35,3888888888889;20,0555555555556;18;"0";1;42;"0";6;"0";"0";"0";11;6;"0";"0";;17;1;"0,647058823529412";40,8668730650155;2832;
